channel,beverage,pastry,dessert,total
QSR,108757,58817,20989,188563
Pubs / Bars / Bistro,12968,16,1,12985
Others,9283,577,362,10222
FSR,2755,544,208,3507
Fixed-Point Food Sellers,354,156,93,603
Mobile Food Sellers,51,6,1,58
Travel & Tourism,16,1,5,22
